type	d1	d1sub	act	hedge	c	conf	note
GOOD	NA	-	PENDING	NA	NA	-	act 层待定：good+better 归并，comparative 多嵌于目标态框架（make it better=A3）vs 评价（A1）；LL 全组最高，须查
language	PENDING	-	NA	NA	PENDING	-	维度三待定：your language background/first language(C1) vs academic language(G2 Wording)；本组理论枢纽词
writing	NA	-	NA	NA	NA	M	文本指称/写作过程，不指示层级
corrections	G2	Correctness	NA	NA	NA	M	命名 Correctness 焦点的元话语标签；中性焦点名词，act 层不赋值
academic	PENDING	-	NA	NA	NA	-	维度一待定：属 register，手册列 tone/formal/register 为 PENDING
STRENGTH	NA	-	PENDING	NA	NA	-	act 层待定：反馈自身小标题"Strengths:"（元话语 NA）vs 归功（A1）；且属 strong 词族，按 v3 强制查询规则不得凭词形定
grammar	G2	Grammar	NA	NA	NA	H	Correctness/Grammar 明示；中性焦点名词
main	G1	Ideas	NA	NA	NA	M	main point/argument/idea；子类 Ideas 与 Global Structure 边界待核
english	NA	-	NA	NA	PENDING	-	手册明列：指语言系统（correct English）→C1；作文体修饰（English essay）→NA。两读法维度一均为 NA
USE	PENDING	-	PENDING	NA	NA	-	维度一待定：your use of evidence(G1)/word use(G2)/use of tenses(G2)；act 层待定：use more examples(A3)vs 描述(NA)
ARTICLE	PENDING	-	NA	NA	NA	-	维度一待定：英语冠词(G2-Grammar)vs 引用的文章(G1-Development)；L2 语法标记的关键判别点
original	NA	-	NA	NA	NA	M	与 revised 配对的"原句/改后句"对照格式，元话语
WORD	G2	Wording	NA	NA	NA	H	Wording 明示
IDEA	G1	Ideas	NA	NA	NA	H	Ideas 明示
tense	G2	Grammar	NA	NA	NA	H	Correctness/Grammar 明示
suggestions	NA	-	PENDING	NA	NA	-	act 层待定：反馈小标题"Suggestions:"（元话语 NA）vs 名词化建议行为（A3）
verb	G2	Grammar	NA	NA	NA	H	Correctness/Grammar 明示
vocabulary	G2	Wording	NA	NA	NA	H	Wording 明示
try	NA	-	A3	NA	NA	H	Hyland&Hyland 明示建议套语（the verb try）
thank	NA	-	NA	NA	NA	M	人际礼貌行为（thank you for sharing），未归功于文本属性，不构成 A1；属手册排除的 paired acts 类
some	NA	-	NA	M1	NA	H	手册 v3 M1 明示 hedge
important	NA	-	PENDING	NA	NA	-	act 层待定：an important point(A1)vs it is important to…(A3 框架)
OPINION	G1	Ideas	NA	NA	NA	M	your opinion / opinion vs fact，属论断层
revised	NA	-	NA	NA	NA	M	与 original 配对的改写对照，元话语
understandable	PENDING	-	A1	NA	NA	L	维度一待定（clear 系）；act 低信度：作为"低门槛褒扬"（your English is understandable）与 A1 定义是否相符须查
